"","text.X","text.x","emotion","polarity"
"57",57,"administration of vaccines will be managed very carefully through registration cards and scanners health departmen ","unknown","positive"
"58",58," informed consent to medical treatment is a right that ensures patients receive information about the recommended treatment so ","unknown","positive"
"59",59," i want to start out by saying i don t support either trump or biden but there ","unknown","positive"
"60",60," the integrated bar of the philippines the national organization of lawyers says there is compelling legal basis for ","joy","negative"
"61",61," bangladesh is buying million doses of covishield vaccine from india and getting a gift of million doses from govt ","unknown","positive"
"62",62," bangladesh is buying million doses of covishield vaccine from india and getting a gift of million doses from govt ","unknown","positive"
"63",63," u f e city of la is also offering the vaccine to anyone in la county who is older through a different portal ","unknown","positive"
"64",64,"ultime news parole chiave trump trump biden biden covid covid covid covid coronavirus coronavirus ","unknown","positive"
"65",65," and then they moan about covid so much but then u ask them if they re gonna take the vaccine and they say ","unknown","negative"
"66",66," just saw this pandemics like financial crisis have always happened one of the reasons the ","joy","positive"
"67",67," took the covishield vaccine as a frontline healthcare worker i join my colleagues in the medical field in taking the v ","unknown","positive"
"68",68," ","unknown","positive"
"69",69," would you support the introduction of vaccine passports as a requirement for international travel allowing only those who have ","unknown","positive"
"70",70," bangladesh is buying million doses of covishield vaccine from india and getting a gift of million doses from govt ","unknown","positive"
"71",71," u f e city of la is also offering the vaccine to anyone in la county who is older through a different portal ","unknown","positive"
"72",72," with chinese made vaccine shots reaching people in more countries booming vaccine cooperation with china worldwide is injecting ","unknown","positive"
"73",73," i think that dolly should receive the nobel peace prize for leading a life of value and merit her generos ","unknown","positive"
"74",74," my year old grandma got her first dose of the covid vaccine she lived through the pandemic daring to hope she l ","unknown","positive"
"75",75," a new study suggests someone might be able to get infected with one of the new variants of the coronavirus even if they ve had cov ","sadness","neutral"
"76",76," unveils covid vax designed for cd t cells plus abs via adenoviral gt self amplifying rna vector ","unknown","positive"
"77",77,"with chinese made vaccine shots reaching people in more countries booming vaccine cooperation with china worldwide ","unknown","positive"
"78",78,"before new year s day millions of americans had received the coronavirus disease vaccine including frontline ","unknown","negative"
"79",79,"health workers are at higher risk of covid infection and illness that s why health workers have been prioritised t ","unknown","negative"
"80",80," would you support the introduction of vaccine passports as a requirement for international travel allowing only those who have ","unknown","positive"
"81",81,"dispensary offering pre roll to those who get covid vaccine read more at ","sadness","negative"
"82",82," even as the vaccine begins to save lives thousands of families are mourning those we ve lost to covid today our flags ","sadness","neutral"
"83",83,"i have emerged from my slumber for one final grand countdown however upon seeing what has happened since we last ","unknown","negative"
"84",84,"over million doses of covid vaccines have been administered to people in countries health problems and th ","unknown","negative"
"85",85," hot off the press covax doesn t reduce risk of reinfection ","unknown","neutral"
"86",86," only doses of covid vaccines have been administered across all poor countries compared to million in wealthy ","sadness","neutral"
"87",87,"in just a matter of hours the covid vaccine registration at publix stores across palm beach county will open ","unknown","positive"
"88",88,"covid vaccine brings sense of relief for local healthcare worker ","unknown","positive"
"89",89,"tourism workers here will have early access to vaccines against coronavirus disease covid once these beco ","unknown","neutral"
"90",90," i m pro vaccine but governments insistence that even with a jab we won t necessarily get to travel or ease restrictions not ","sadness","positive"
"91",91," bangladesh is buying million doses of covishield vaccine from india and getting a gift of million doses from govt ","unknown","positive"
"92",92," covid vaccine itself does not seem to have affected fertility but pregnant woman have been adviced not to ha ","unknown","positive"
"93",93," u f e city of la is also offering the vaccine to anyone in la county who is older through a different portal ","unknown","positive"
"94",94," it ll probably be boring policy statements info on covid vaccine distribution ","unknown","negative"
"95",95,"the latest covid dashboard ","unknown","positive"
"96",96," a new study suggests someone might be able to get infected with one of the new variants of the coronavirus even if they ve had cov ","sadness","neutral"
"97",97," covid vaccine virtual town hall ","unknown","positive"
"98",98," a few weeks ago the startup philly fighting covid launched a citywide vaccine pre registry in lock step with the city he ","unknown","positive"
"99",99,"in this together ","joy","positive"
"100",100," nobody smart believes covid will just go away with the vaccine it will help b ","unknown","positive"
"101",101," tamil channels desperately report the side effects caused by covid vaccine in south american countries awaiting their pre ","unknown","negative"
"102",102,"i support a peoplesvaccine i m calling on to commit right now to ensuring the covid vaccine is ","unknown","positive"
"103",103," the rollout of the covid vaccine is accelerating with vaccinations now offered at around sites more than ","unknown","positive"
"104",104," three weeks into the covid pandemic norway recorded deaths with covid three weeks into vaccinations norway has ","unknown","positive"
"105",105," it s not a vaccine its experimental gene therapy i thought this was a page for fact checking ","unknown","positive"
"106",106," covid news uk vaccine rollout extended to people and over ","unknown","positive"
"107",107," the rollout of the covid vaccine is accelerating with vaccinations now offered at around sites more than ","unknown","positive"
"108",108," the ema has confirmed that no deaths have been attributed to a covid vaccine to date ","unknown","positive"
"109",109," gets hit by a bus covid death dies after vaccine some obscure condition that lay dormant within th ","unknown","negative"
"110",110," this is a shameful distortion of reality israel s arab residents and the palestinians of east jerusalem are included i ","unknown","negative"
"111",111," essential public transportation remaining essential public health workforce and mortuary services education nshe ap ","unknown","positive"
"112",112," seriously fuck religion ","unknown","negative"
"113",113," we collaborated with on a covid vaccine factsheet for prisoners we ll be mailing these out soon with zines le ","unknown","positive"
"114",114,"doctors in norway are investigating the deaths of elderly patients who had received the pfizer biontech coronavi ","unknown","positive"
"115",115,"global covid vaccine rollout u b c u b c u b c u b c u b c u b c u b c u b c u b c u b c u b c u b c u b c u b c u b c vaccine doses deployed m the rollout seems to be spe ","unknown","positive"
"116",116," the rollout of the covid vaccine is accelerating with vaccinations now offered at around sites more than ","unknown","positive"
"117",117," nba legend kareem abdul jabbar urges the public to get covid vaccine in new psa u b ","sadness","negative"
"118",118,"fraudsters impersonate vaccine manufacturers who dhlresearchers at the security firm proofpoint are tracking seve ","unknown","positive"
"119",119," omg so many people have died in los angeles county that officials have temporarily suspended air quality regulations tha ","unknown","negative"
"120",120,"me posts on the class ethics discussion board about people receiving the covid vaccine who aren t front line or ","unknown","positive"
"121",121," my wife s best friend is a retired elderly nurse she and her three family members who care for her got the covid vaccine ","joy","positive"
"122",122," nagaraj a year old attendant at a ballari hospital is one of two persons who died in india after taking covid v ","unknown","positive"
"123",123," johnson johnson says its one dose covid vaccine generated both antibody and t cell responses against the virus with f ","unknown","negative"
"124",124," transparency around how the covid vaccine is being rolled out was back in the spotlight today the hse says it issued guidance ","unknown","positive"
"125",125," it will save a lot of lives said serbian president aleksandar vucic as he greeted the first batch of millio ","unknown","positive"
"126",126," the rollout of the covid vaccine is accelerating with vaccinations now offered at around sites more than ","unknown","positive"
"127",127," can someone start up a petition to get folkestone recognised for covid vaccine we are seriously l ","sadness","negative"
"128",128," omg so many people have died in los angeles county that officials have temporarily suspended air quality regulations tha ","unknown","negative"
"129",129," scottish nationalism in tweets one won t have a covid vaccine if it s administered by the british army and the other won ","unknown","negative"
"130",130," george natembeya has told those turkana mps asking to be evacuated to tell him who will help the gov t solve the problem ","unknown","neutral"
"131",131,"labour want everything to be free and also given away to others before us obingo ","unknown","positive"
"132",132," dr anthony fauci tells that the flow of covid vaccines is steady enough to ensure everyone will get their se ","sadness","positive"
"133",133," health authorities in norway say there s no evidence of a direct link between the recent string of deaths among elderly peopl ","unknown","positive"
"134",134," a covid and nd wave denier taking pride of the vaccines roll out you know that if there is no ","joy","neutral"
"135",135,"my mother is she got the call today her first dose of covid vaccine is happening on friday relieved u f ","unknown","negative"
"136",136," omg so many people have died in los angeles county that officials have temporarily suspended air quality regulations tha ","unknown","negative"
"137",137," covid vaccine update daily figures on the number of people who have received a covid vaccine in the uk as of jan ","unknown","positive"
"138",138," dead in germany within days of covid vaccine inoculation probe ordered ","unknown","negative"
"139",139," norway finds no evidence that covid vaccine caused deaths among elderly ","unknown","positive"
"140",140," johnson johnson says its one dose covid vaccine generated both antibody and t cell responses against the virus with f ","unknown","negative"
"141",141,"anti vaccine groups receive more than in covid relief program the washington post this is just great ","joy","positive"
"142",142,"california warns against using a batch of moderna covid vaccines after allergic reactions ","unknown","negative"
"143",143,"please before you take the covid vaccine as a black person give the doctor ready to vaccinate you your medical r ","joy","neutral"
"144",144," colorado is ready for covid vaccines and will distribute vaccines as quickly as the supply chain allows as we wait for color ","unknown","positive"
"145",145,"i thought getting the covid vaccine would immediately catapult me into the after times instead it has just pre ","unknown","positive"
"146",146," norway denies direct link between deaths of elderly people and pfzier covid vaccine they received ","unknown","positive"
"147",147," lsrmexicoreport the foreing minister trusts that all mexican workers in the united states receive the covid rega ","joy","positive"
"148",148," andrew neil exposes sturgeon and drakeford s flaws in vaccine rollout stark charts ","unknown","negative"
"149",149," south africa which has yet to receive its first coronavirus vaccine doses will be getting million from johnson and johnson th ","unknown","positive"
"150",150," nba legend kareem abdul jabbar urges the public to get covid vaccine in new psa u b ","sadness","negative"
"151",151," add the fatalities because of general hospital care postponed because of c ","joy","positive"
"152",152," omg so many people have died in los angeles county that officials have temporarily suspended air quality regulations tha ","unknown","negative"
"153",153," the government are talking about numbers of people vaccinated again and again you wouldn t say someone has received a ","unknown","positive"
"154",154," peg sensitivity is very high about in the population the use of peg to encapsulate the mrna in covid vaccine ","anger","positive"
"155",155," essential public transportation remaining essential public health workforce and mortuary services education ns ","unknown","positive"
"156",156," cuomo played politics with the virus and lost ","unknown","negative"
"157",157," new monroe county department of health says they are an expecting allocation of only new covid vaccine doses this w ","unknown","positive"
"158",158," nearly million doses of covid vaccine have been administered to people in wealthy countries just doses have ","unknown","positive"
"159",159," johnson johnson says its one dose covid vaccine generated both antibody and t cell responses against the virus with f ","unknown","negative"
"160",160," the good news is that i had my st covid vaccine the bad news is that i couldn t get the nd appointment and was told i ","sadness","negative"
"161",161," covid vaccine there are real gaps in the system with a small number of surgeries not even having started yet ","unknown","positive"
"162",162," update all care home residents in the region who were fit able and willing to receive the covid vaccine have ","anger","positive"
"163",163," as and his pr agents in mainstream media try to cover up the governor s covid vaccine distribution fiasco they ca ","unknown","negative"
"164",164," george natembeya has told those turkana mps asking to be evacuated to tell him who will help the gov t solve the problem ","unknown","neutral"
"165",165," before you all chime in about having a part of the jab it becomes effective on the first dose ","unknown","negative"
"166",166," covid related deaths reported of pahrump deaths new covid positive cases reported and confirmed with ","unknown","positive"
"167",167," people from minority ethnic backgrounds have been targeted by misinformation about the covid vaccines they are safe and ","unknown","positive"
"168",168," johnson johnson says its one dose covid vaccine generated both antibody and t cell responses against the virus with f ","unknown","negative"
"169",169," new brunswick has additional covid cases day after a pandemic high of cases were diagnosed the province s day ","anger","positive"
"170",170,"fears of covid vaccine lottery as some over s could get jabs before higher risk groups ","sadness","negative"
"171",171," george natembeya has told those turkana mps asking to be evacuated to tell him who will help the gov t solve the problem ","unknown","neutral"
"172",172," california pauses use of large batch of moderna covid vaccine ktla ","unknown","positive"
"173",173," keep up to date on the most recent information on the covid vaccine by visiting the and of course us f ","unknown","positive"
"174",174,"pakistan approves china s sinopharm covid vaccine for emergency use ","unknown","positive"
"175",175,"if you are over a child are worker or an educator you can register online starting tomorrow to get a covi ","sadness","negative"
"176",176," omg so many people have died in los angeles county that officials have temporarily suspended air quality regulations tha ","unknown","negative"
"177",177," scotland has nearly times the covid deaths as norway now sturgeon s vaccine delays are killing more ","unknown","positive"
"178",178,"i support a peoplesvaccine i m calling on to commit right now to ensuring the covid vaccine is distri ","unknown","positive"
"179",179," i got four push notifications on my phone for this story alone ","unknown","positive"
"180",180,"dr anthony fauci tells that the flow of covid vaccines is steady enough to ensure everyone will get t ","sadness","positive"
"181",181," there are so few people infected with covid in cuba that the country can t test its own vaccine ","unknown","negative"
"182",182," public health bias outrage over smokers getting covid vaccine completely ignores the fact that smoking vaping is most pr ","anger","negative"
"183",183,"once vaccinated senior citizens will be eager to spend time with their grandkids however they should wait until ","joy","positive"
"184",184," govt run digital covid ","unknown","positive"
"185",185," last week ca gov announced that residents and above were now eligible to schedule appointments to receive eit ","unknown","negative"
"186",186," sh is likely to address a press conference tomorrow at aicc he will present congress views on various is ","unknown","positive"
"187",187," omg so many people have died in los angeles county that officials have temporarily suspended air quality regulations tha ","unknown","negative"
"188",188,"learn everything you wanted to know about the new covid vaccines in the article covid vaccine questions answ ","unknown","positive"
"189",189," the world is on the brink of a catastrophic moral failure and the price of this failure will be paid with lives and li ","unknown","neutral"
"190",190," jon snow interviewing sir john bell a member of sage bell blurts out that this vaccine will steril ","unknown","positive"
"191",191," coronavirus and announcing the miracle of healing without vaccine nor medicine rabi akhir ah ","unknown","positive"
"192",192," it absolutely does it is guaranteed against serious symptoms which means you might get mild ","sadness","negative"
"193",193," all of these patients have had serious underlying illnesses we can t say that people die from the vaccine i m sure ","unknown","neutral"
"194",194," update all care home residents in the region who were fit able and willing to receive the covid vaccine have ","anger","positive"
"195",195,"i haven t heard of it yet so i m coining a new anxiety term vaccine guilt when you ve gotten both of your covi ","sadness","negative"
"196",196," prime minister and other minister who are working hard in saving this nation lives are very precious for all indians hence ","unknown","negative"
"197",197,"just gave a talk on vaccines to prevent covid to a great group of post doc fellows as part of t gro ","fear","positive"
"198",198,"he criticized drugmakers profits and vaccine inequalities saying it s not right that younger healthier adults ","unknown","neutral"
"199",199,"the rollout of the covid vaccine is accelerating with vaccinations now offered at around sites more tha ","unknown","positive"
"200",200," california state epidemiologist dr erica s pan issued a statement on sunday evening recommending providers pause the ","unknown","neutral"
"201",201,"awesome news ","unknown","positive"
"202",202,"covid vaccination by province ","unknown","positive"
"203",203," vaccine does not stop you from getting covid or spreading not tested properly that s why g ","unknown","positive"
"204",204," johnson johnson says its one dose covid vaccine generated both antibody and t cell responses against the virus with f ","unknown","negative"
"205",205," covid news uk vaccine rollout extended to people and over ","unknown","positive"
"206",206," let s see early results when they tested th ","unknown","positive"
"207",207," the government are talking about numbers of people vaccinated again and again you wouldn t say someone has received a ","unknown","positive"
"208",208,"take special   monitor sites like this and remember to look at population specific data low vaccine accept ","joy","positive"
"209",209," johnson johnson says its one dose covid vaccine generated both antibody and t cell responses against the virus with f ","unknown","negative"
"210",210," the government are talking about numbers of people vaccinated again and again you wouldn t say someone has received a ","unknown","positive"
"211",211," california s top epidemiologist issued a statement sunday evening recommending a pause on the use of a huge batch of ","surprise","positive"
"212",212," incoming biden chief of staff ron klain we re inheriting a huge mess on covid vaccine rollout ","unknown","negative"
"213",213,"the rational the reasonable and covid vaccine policy ","unknown","positive"
"214",214," omg so many people have died in los angeles county that officials have temporarily suspended air quality regulations tha ","unknown","negative"
"215",215," coach k says he and coach cutcliffe got their first dose of the covid vaccine last thursday or friday ","unknown","negative"
"216",216,"dentist facing charge for putting pressure on employees to get covid vaccine coronavirus covid microsite ","joy","negative"
"217",217," wake county school board will hear tuesday from county human public health team on the planning for access to the covid va ","unknown","positive"
"218",218," people from minority ethnic backgrounds have been targeted by misinformation about the covid vaccines they are safe and ","unknown","positive"
"219",219," minnesota s innovative covid vaccine pilot program will get the vaccine to those who need it most while we wait for the fe ","sadness","negative"
"220",220," has released its updated batch of reported covid vaccine side effect data through jan when roughly mi ","unknown","positive"
"221",221,"we are not able to accept walk ins at any of our covid vaccine clinics at this time please call t ","joy","positive"
"222",222," there is a vaccine against homelessness it s called affordablehousing covid has laid bare the problems of the global hous ","unknown","negative"
"223",223," according to sleuthing by italian security company yarix more than megabytes of data from the european medicines agenc ","unknown","positive"
"224",224," the government are talking about numbers of people vaccinated again and again you wouldn t say someone has received a ","unknown","positive"
"225",225," dr offit told me we should be greeting the covid vaccines with the same enthusiasm that greeted the polio vaccine it sho ","joy","positive"
"226",226," the government are talking about numbers of people vaccinated again and again you wouldn t say someone has received a ","unknown","positive"
"227",227," the incompetent waste of covid vaccinations sitting unused was totally avoidable the ignorance and arrogance of those in ","unknown","negative"
"228",228," omg so many people have died in los angeles county that officials have temporarily suspended air quality regulations tha ","unknown","negative"
"229",229," from ","unknown","positive"
"230",230," so many people have died in los angeles county that officials have temporarily suspended air quality regulations that lim ","unknown","negative"
"231",231," people from minority ethnic backgrounds have been targeted by misinformation about the covid vaccines they are safe and ","unknown","positive"
"232",232," norway health officials have adjusted their advice after reporting that elderly people died shortly after recei ","unknown","positive"
"233",233," covidvaccination update american multinational vaccine development co inc has proposed an advance purchase ag ","unknown","positive"
"234",234," if covid vaccine becomes available and anc comrades and their familes doesn t steal it then i will know that vaccin ","unknown","positive"
"235",235," long beach today is in the process of setting up its covid vaccine super site in the convention center parking lot staf ","unknown","neutral"
"236",236," california s top epidemiologist issued a statement sunday evening recommending a pause on the use of a huge batch of ","surprise","positive"
"237",237," if none of the vaccines do prevent transmission but only prevent disease then the whole notion of vaccine passports ","unknown","negative"
"238",238,"the vaccine roll out will take time but there is more we can be doing now to open up without adding risk u ","unknown","negative"
"239",239," fellow tennesseans just an fyi our swell has volunteered us to be guinea pigs for chemicals sprayed in t ","unknown","positive"
"240",240,"biden s covid vaccine plan is helpful but here s what s really needed to speed things up ","unknown","positive"
"241",241," very worrying c news at new st helens vaccine centre selling the story of people with a single vaccine dose being able ","unknown","negative"
"242",242," bbc future article how effect is a single dose of the covid vaccine read it ","unknown","positive"
"243",243," eff statement on the procurement of covid vaccine ","unknown","positive"
"244",244," well i m having a bit of a quandary the news is saying clinically extremely vulnerable will be offered th ","unknown","neutral"
"245",245," teachers shop workers and police could be prioritised in next phase of vaccine rollout uk news sky news ","unknown","positive"
"246",246,"steve martin has good news bad news about getting vaccinated cnn ","joy","negative"
"247",247," great breakdown of the relative effectiveness of each of the different vaccines with one dose vs two here it s not that ","joy","neutral"
"248",248," people from minority ethnic backgrounds have been targeted by misinformation about the covid vaccines they are safe and ","unknown","positive"
"249",249," if none of the vaccines do prevent transmission but only prevent disease then the whole notion of vaccine passports ","unknown","negative"
"250",250,"yerrrrr my dad just got his first round of the covid vaccine u f ","unknown","positive"
"251",251," if covid vaccine becomes available and anc comrades and their familes doesn t steal it then i will know that vaccin ","unknown","positive"
"252",252," year old italian woman receives covid vaccine ","unknown","positive"
"253",253," the government are talking about numbers of people vaccinated again and again you wouldn t say someone has received a ","unknown","positive"
"254",254," pfizer vaccine causing patients to get bell s palsy facial paralysis four trial participants who received the pfiz ","sadness","negative"
"255",255," parents and carers of disabled children have been added to the priority list for getting a vaccine all you have to do is ","unknown","negative"
"256",256," link reveals covid vaccine events w frequency s it appears that of deaths from vaccines is x hig ","anger","positive"
"257",257," a tweet referring to a news article is claiming that students have been hospitalised after being administered with cov ","unknown","positive"
"258",258," california s top epidemiologist issued a statement sunday evening recommending a pause on the use of a huge batch of ","surprise","positive"
"259",259," the u k reported that the number of first doses of the covid vaccine have topped million ","unknown","positive"
"260",260," omg so many people have died in los angeles county that officials have temporarily suspended air quality regulations tha ","unknown","negative"
"261",261," saudi arabia approves astrazeneca covid vaccine for use ","unknown","positive"
"262",262," four trial volunteers who got pfizer s covid vaccine developed bell s palsy but fda denies that the temporary fac ","unknown","negative"
"263",263," i just saw homeless guys giving each other the covid vaccine under a bridge what a caring community we live in u f f u f fd u f f u f fd u f u f ","joy","positive"
"264",264,"here are the state and county links to register for the covid vaccine state ","unknown","positive"
"265",265,"well done to the relatives of hospital staff that used their connections to avail of the covid vaccine in the inter ","joy","positive"
"266",266," vaccine prioritization in phase ii in ontario the province has put out a framework which seems not unreasonable ","unknown","negative"
"267",267," the da strongly opposes the tax hikes mooted by treasury director general dondo mogajane to pay for the covid vaccine program ","unknown","negative"
"268",268," nearly million doses of covid vaccine have been administered to people in wealthy countries just doses have ","unknown","positive"
"269",269," hi u u vaccine roll out is great but why is it other countries who are vaccinating far less are not the no ","joy","negative"
"270",270," i know it s a running joke that the trump administration is pro virus but they literally provided anti virus public funds ","unknown","neutral"
"271",271,"sea shanties are all the rage on tiktok and i m quite pleased this was composed for the covid vaccine u f ","anger","neutral"
"272",272," eff statement on the procurement of covid vaccine ","unknown","positive"
"273",273," ri doctor reaches out to the black community about the covid vaccine ","unknown","negative"
"274",274," got the covid vaccine today u f ","unknown","positive"
"275",275," bhutan to receive oxford astrazeneca covid vaccine from india says pm tshering ","unknown","positive"
"276",276," george natembeya has told those turkana mps asking to be evacuated to tell him who will help the gov t solve the problem ","unknown","neutral"
"277",277,"svg being offered doses of russian covid vaccine ","unknown","positive"
"278",278,"a big thank you to those people that don t wanna take the covid vaccine thanks to them those of us who want it will get it sooner ","sadness","positive"
"279",279,"want vaccine here s how to sign up when you re eligible vaccine information page state residents ages and over ","unknown","positive"
"280",280,"i have now had enough and i am going to call out these covidiots over percent of brits say they can t wait to t ","unknown","negative"
"281",281," california s top epidemiologist issued a statement sunday evening recommending a pause on the use of a huge batch of ","surprise","positive"
"282",282," the government are talking about numbers of people vaccinated again and again you wouldn t say someone has received a ","unknown","positive"
"283",283,"could a dispensary in okc do this this michigan marijuana dispensary is giving free weed to anyone who got the c ","unknown","neutral"
"284",284," tighter covid restrictions have taken effect in parts of new brunswick after the province recorded its highest daily total ","unknown","negative"
"285",285," johnson johnson says its one dose covid vaccine generated both antibody and t cell responses against the virus with f ","unknown","negative"
"286",286," we were delighted to welcome the pm today at the formal opening of oxbox our manufacturing facility w ","joy","positive"
"287",287,"didn t pfe come out with covid vaccine u f u f u f held jan c for a couple mon ","unknown","positive"
"288",288," i know it s a running joke that the trump administration is pro virus but they literally provided anti virus public funds ","unknown","neutral"
"289",289," ","unknown","positive"
"290",290," but it s unclear if they can do it before those vaccines are fully licensed here s a look at what the experts say http ","unknown","negative"
"291",291," omg so many people have died in los angeles county that officials have temporarily suspended air quality regulations tha ","unknown","negative"
"292",292," india s coronavirus vaccine rollout one of the largest in the world has been hobbled by technical glitches in a mobile phone ","unknown","positive"
"293",293," the news channels all working for boris all kissing arse boris is their puppet master the news on co ","unknown","neutral"
"294",294," free webinar tomorrow from q as about the covid vaccine with dr danny douek register here ","unknown","positive"
"295",295," is someone at transgender trend keeping an eye out for these folks who ve been called for a covid vaccine because i ","unknown","positive"
"296",296," johnson johnson says its one dose covid vaccine generated both antibody and t cell responses against the virus with f ","unknown","negative"
"297",297," we call for clarity on uk s covid strategy in the sunday times we can t just depend on the vaccine ","unknown","positive"
"298",298," one stat shames our covid deniers downplaying idiots lockdown flouters the uk now has the world s highes ","unknown","neutral"
"299",299,"saudi arabia approves astrazeneca covid vaccine for use ","unknown","positive"
"300",300,"more than million shots given covid vaccine tracker ","unknown","positive"
"301",301," dollar general is offering employees a deal go get a covid vaccine and receive four hours of pay ","sadness","negative"
"302",302," it has been beset with problems such as cumbersome bureaucracy and poorly staffed centers cnn reported the ","unknown","negative"
"303",303,"cvs and walgreens slammed for slow nursing home vaccine process business insider ","unknown","negative"
